Frakmt,Kommune
363-0 22/0517 Højre,Vejle
60-12 102/0216 Højre,Vejle
340-0 12/0925 Venstre,Vejle
64-0 21/0645 Venstre,Vejle
64-0 16/0945 Venstre,Vejle
340-0 16/0578 Venstre,Vejle
64-0 25/0035 Højre,Vejle
60-0 109/0652 Venstre,Vejle
60-0 107/0836 Højre,Vejle
60-2 98/0149 Venstre,Vejle
64-0 35/0121 Venstre,Vejle
64-1 2/0775 Venstre,Vejle
64-0 32/0472 Højre,Vejle
64-0 26/0097 Højre,Vejle
64-0 29/0124 Venstre,Vejle
528-0 9/0536 Højre,Vejle
60-0 107/0860 Højre,Vejle
60-0 105/0559 Venstre,Vejle
60-0 112/0167 Højre,Vejle
64-0 1/0561 Højre,Vejle
64-0 22/0370 Højre,Vejle
64-0 22/0314 Højre,Vejle
64-0 22/0225 Højre,Vejle
64-0 28/0834 Højre,Vejle
64-0 33/0861 Venstre,Vejle
340-0 11/0418 Højre,Vejle
64-0 35/1735 Venstre,Vejle
363-0 18/0338 Højre,Vejle
340-0 13/0273 Venstre,Vejle
60-0 99/0777 Højre,Vejle
64-0 35/1187 Højre,Vejle
528-0 12/0465 Venstre,Vejle
528-0 9/0918 Højre,Vejle
64-0 31/0100 Højre,Vejle
64-0 19/0782 Højre,Vejle
64-0 2/0335 Højre,Vejle
64-0 28/0212 Højre,Vejle
64-0 23/0160 Venstre,Vejle
64-0 24/0830 Højre,Vejle
64-0 2/0354 Venstre,Vejle
363-0 13/0083 Venstre,Vejle
340-0 17/0362 Højre,Vejle
363-0 24/0218 Højre,Vejle
363-0 14/0646 Højre,Vejle
340-0 11/0896 Venstre,Vejle
64-0 3/0411 Venstre,Vejle
64-1 1/0740 Højre,Vejle
528-0 12/0290 Venstre,Vejle
340-0 13/0258 Venstre,Vejle
363-0 18/0029 Højre,Vejle
363-0 11/0180 Venstre,Vejle
340-0 14/0535 Venstre,Vejle
363-0 17/0683 Venstre,Vejle
363-0 12/0067 Venstre,Vejle
64-0 26/0827 Højre,Vejle
64-0 30/0353 Højre,Vejle
64-0 19/0967 Højre,Vejle
64-0 17/0865 Højre,Vejle
64-0 16/0140 Venstre,Vejle
64-0 14/0220 Højre,Vejle
340-0 13/0521 Højre,Vejle
363-0 15/0501 Venstre,Vejle
64-12 18/0789 Højre,Vejle
60-6 114/0600 Højre,Vejle
64-2 2/0686 Venstre,Vejle
340-0 16/0020 Højre,Vejle
600514-0 4/0871 Højre,Vejle
467-0 28/0998 Venstre,Vesthimmerlands
407-0 49/0154 Højre,Viborg
407-0 49/0576 Højre,Viborg
441-0 7/0541 Venstre,Viborg
407-0 53/0000 Venstre,Viborg
409-0 0/0889 Venstre,Viborg
407-0 55/0095 Venstre,Viborg
441-0 9/1455 Højre,Viborg
416-0 21/0341 Venstre,Viborg
441-0 4/0988 Venstre,Viborg
416-0 33/0103 Højre,Viborg
407-0 49/0985 Højre,Viborg
407-0 50/0259 Højre,Viborg
407-0 56/0608 Venstre,Viborg
441-0 7/0711 Højre,Viborg
619-0 10/0340 Højre,Vordingborg
30-0 96/0060 Højre,Vordingborg
30-0 97/0331 Venstre,Vordingborg
30-0 98/0220 Højre,Vordingborg
30-0 86/0100 Venstre,Vordingborg
30-0 99/0750 Højre,Vordingborg
30-0 94/0590 Højre,Vordingborg
30-0 102/0550 Venstre,Vordingborg
30-0 89/0998 Højre,Vordingborg
30-0 102/0820 Højre,Vordingborg
30-0 93/0880 Venstre,Vordingborg
30-0 80/0340 Venstre,Vordingborg
30-0 80/0560 Venstre,Vordingborg
30-0 80/0620 Højre,Vordingborg
30-0 80/0720 Højre,Vordingborg
30-0 82/0520 Venstre,Vordingborg
30-0 83/0660 Højre,Vordingborg
30-0 84/0160 Højre,Vordingborg
30-0 91/0893 Venstre,Vordingborg
30-0 92/0760 Højre,Vordingborg
